Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
89631139$Blue-Eyes White Dragon$$LIGHT$[Dragon/normal]$$$$$8$3000$2500$$$$This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.$$$$$
95788410$Rabidragon$$LIGHT$[Dragon/normal]$$$$$8$2950$2900$$$$It's a snowfield-dwelling, giant-ear-sporting, super-acoustic, snowball-shaped mutant dragon! There's no way anybody can escape.$$$$$
43096270$Alexandrite Dragon$$LIGHT$[Dragon/normal]$$$$$4$2000$100$$$$Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.$$$$$
11091375$Luster Dragon$$WIND$[Dragon/normal]$$$$$4$1900$1600$$$$A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high attack power.$$$$$
21615956$Flamvell Guard$$FIRE$[Dragon/normal]$$$$$1$100$2000$$$$A Flamvell guardian who commands fire with his will. His magma-hot barrier protects his troops from intruders.$$$$$
88241506$Maiden with Eyes of Blue$$LIGHT$[Spellcaster/effect]$$$$$1$0$0$$$$When a card or effect is activated that targets this card (Quick Effect): You can Special Summon 1 "Blue-Eyes White Dragon" from your hand, Deck, or GY. When this card is targeted for an attack: You can negate the attack, and if you do, change the battle position of this card, then you can Special Summon 1 "Blue-Eyes White Dragon" from your hand, Deck, or GY. You can only use 1 "Maiden with Eyes of Blue" effect per turn, and only once that turn.$$$$$
14235211$Rider of the Storm Winds$$LIGHT$[Dragon/effect]$$$$$1$500$200$$$$You can target 1 Dragon Normal Monster you control; equip this monster from your hand or field to that target. If a monster equipped with this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If a monster equipped with this card would be destroyed, destroy this card instead.$$$$$
57662975$Darkstorm Dragon$$DARK$[Dragon/effect]$$$$$8$2700$2500$$This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.$$● Once per turn: You can send 1 face-up Spell/Trap Card you control to the Graveyard; destroy all Spell and Trap Cards on the field.$$$$$
52824910$Kaiser Glider$$LIGHT$[Dragon/effect]$$$$$6$2400$2200$$$$Cannot be destroyed by battle with a monster that has the same ATK. If this card is destroyed and sent to the Graveyard: Target 1 monster on the field; return that target to the hand.$$$$$
77901552$Hieratic Dragon of Tefnuit$$LIGHT$[Dragon/effect]$$$$$6$2100$1400$$$$If only your opponent controls a monster, you can Special Summon this card (from your hand). This card cannot attack during the turn it is Special Summoned this way. When this card is Tributed: Special Summon 1 Dragon Normal Monster from your hand, Deck, or GY, but make its ATK/DEF 0.$$$$$
15960641$Mirage Dragon$$LIGHT$[Dragon/effect]$$$$$4$1600$600$$$$Your opponent cannot activate Trap Cards during the Battle Phase.$$$$$
20277376$Divine Dragon Apocralyph$$DARK$[Dragon/effect]$$$$$4$1000$1500$$$$Once per turn: You can discard 1 card, then target 1 Dragon-Type monster in your Graveyard; add that target to your hand.$$$$$
79814787$The White Stone of Legend$$LIGHT$[Dragon/effect]$$$$$1$300$250$$$$If this card is sent to the GY: Add 1 "Blue-Eyes White Dragon" from your Deck to your hand.$$$$$
34627841$Kaibaman$$LIGHT$[Warrior/effect]$$$$$3$200$700$$$$You can Tribute this card; Special Summon 1 "Blue-Eyes White Dragon" from your hand.$$$$$
66337215$Herald of Creation$$LIGHT$[Spellcaster/effect]$$$$$4$1800$600$$$$Once per turn: You can discard 1 card, then target 1 Level 7 or higher monster in your Graveyard; add that target to your hand.$$$$$
17444133$Kaiser Sea Horse$$LIGHT$[Sea Serpent/effect]$$$$$4$1700$1650$$$$This card can be treated as 2 Tributes for the Tribute Summon of a LIGHT monster.$$$$$
