id,name,type,desc,atk,def,level,race,attribute,archetype,image_url,image_path
33656832,Acrobatic Magician,Pendulum Effect Monster,"[ Pendulum Effect ] 
When a monster(s) you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Acrobatic Magician"" once per turn.
[ Monster Effect ] 
If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.",800,2300,5,Spellcaster,DARK,Magician,https://images.ygoprodeck.com/images/cards_cropped/33656832.jpg,GAN_experiments/training_magician/darkmagician/33656832.jpg
28776350,Akashic Magician,Link Monster,"2 monsters with the same Type, except Tokens
You can only Link Summon ""Akashic Magician(s)"" once per turn. If this card is Link Summoned: Return all monsters this card points to to the hand. Once per turn: You can declare 1 card name; excavate cards from the top of your Deck, equal to the total Link Rating of the Link Monsters co-linked to this card, then if you excavated any copies of the declared card, add them to your hand, also send the remaining cards to the GY.",1700,0,0,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/28776350.jpg,GAN_experiments/training_magician/darkmagician/28776350.jpg
65301952,Alchemic Magician,XYZ Monster,"3 Level 4 Spellcaster-Type monsters
This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone.",1500,1500,4,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/65301952.jpg,GAN_experiments/training_magician/darkmagician/65301952.jpg
37803970,Amazing Pendulum,Spell Card,"If you have no cards in your Pendulum Zones: Add 2 face-up ""Magician"" Pendulum Monsters with different names from your Extra Deck to your hand. You can only activate 1 ""Amazing Pendulum"" per turn.",0,0,0,Normal,Unknown,Magician,https://images.ygoprodeck.com/images/cards_cropped/37803970.jpg,GAN_experiments/training_magician/darkmagician/37803970.jpg
31975743,Ape Magician,Effect Monster,"Cannot be Special Summoned. Once per turn, if this card is in face-up Attack Position: You can send 1 monster from your hand to the Graveyard to target 1 face-up Defense Position monster your opponent controls; take control of it until the End Phase. It cannot change its battle position this turn.",800,1200,3,Beast,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/31975743.jpg,GAN_experiments/training_magician/darkmagician/31975743.jpg
56132807,Apple Magician Girl,Effect Monster,"Once per turn, if this card is targeted for an attack: You can Special Summon 1 Level 5 or lower Spellcaster-Type monster from your hand, then change the attack target to it, and if you do, the attacking monster's ATK becomes half its current ATK. If this card is destroyed by battle or card effect: You can target up to 3 other ""Magician Girl"" monsters with different names in your Graveyard; add them to your hand.",1200,800,3,Spellcaster,FIRE,Magician Girl,https://images.ygoprodeck.com/images/cards_cropped/56132807.jpg,GAN_experiments/training_magician/darkmagician/56132807.jpg
30603688,Apprentice Illusion Magician,Effect Monster,"You can Special Summon this card (from your hand) by discarding 1 card. If this card is Normal or Special Summoned: You can add 1 ""Dark Magician"" from your Deck to your hand. During damage calculation, if your other DARK Spellcaster monster battles an opponent's monster (Quick Effect): You can send this card from your hand or face-up field to the GY; that monster you control gains 2000 ATK/DEF during that damage calculation only.",2000,1700,6,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/30603688.jpg,GAN_experiments/training_magician/darkmagician/30603688.jpg
9156135,Apprentice Magician,Effect Monster,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.,400,800,2,Spellcaster,DARK,Magician,https://images.ygoprodeck.com/images/cards_cropped/9156135.jpg,GAN_experiments/training_magician/darkmagician/9156135.jpg
8396952,Arcana Force I - The Magician,Effect Monster,"When this card is Summoned, toss a coin:
● Heads: When a Spell Card is activated, this card's ATK becomes double its original ATK until the End Phase of that turn.
● Tails: When a Spell Card is activated, your opponent gains 500 Life Points.",1100,1100,4,Fairy,LIGHT,Arcana Force,https://images.ygoprodeck.com/images/cards_cropped/8396952.jpg,GAN_experiments/training_magician/darkmagician/8396952.jpg
31924889,Arcanite Magician,Synchro Monster,"1 Tuner + 1+ non-Tuner Spellcaster monsters
If this card is Synchro Summoned: Place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 1 Spell Counter from your field, then target 1 card your opponent controls; destroy that target.",400,1800,7,Spellcaster,LIGHT,Unknown,https://images.ygoprodeck.com/images/cards_cropped/31924889.jpg,GAN_experiments/training_magician/darkmagician/31924889.jpg
14553285,Arcanite Magician/Assault Mode,Effect Monster,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 2 Spell Counters from this card to destroy all cards your opponent controls. When this card on the field is destroyed, you can Special Summon 1 ""Arcanite Magician"" from your Graveyard.",900,2300,9,Spellcaster,LIGHT,Assault Mode,https://images.ygoprodeck.com/images/cards_cropped/14553285.jpg,GAN_experiments/training_magician/darkmagician/14553285.jpg
76794549,Astrograph Sorcerer,Pendulum Effect Monster,"[ Pendulum Effect ] 
During your Main Phase: You can destroy this card, and if you do, take 1 ""Stargazer Magician"" from your hand or Deck, and either place it in your Pendulum Zone or Special Summon it. You can only use this effect of ""Astrograph Sorcerer"" once per turn.
[ Monster Effect ] 
If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand, then you can choose 1 monster in the GY, Extra Deck, or that is banished, and that was destroyed this turn, and add 1 monster with the same name from your Deck to your hand. You can banish this card you control, plus 4 monsters from your hand, field, and/or GY (1 each with ""Pendulum Dragon"", ""Xyz Dragon"", ""Synchro Dragon"", and ""Fusion Dragon"" in their names); Special Summon 1 ""Supreme King Z-ARC"" from your Extra Deck. (This is treated as a Fusion Summon.)",2500,2000,7,Spellcaster,DARK,Magician,https://images.ygoprodeck.com/images/cards_cropped/76794549.jpg,GAN_experiments/training_magician/darkmagician/76794549.jpg
20747792,Berry Magician Girl,Effect Monster,"If this card is Normal Summoned: You can add 1 ""Magician Girl"" monster from your Deck to your hand. Once per turn, during either player's turn, when your opponent activates a card or effect that targets this card, or targets this card for an attack: You can change this card's battle position, and if you do, Special Summon 1 ""Magician Girl"" monster from your Deck, except ""Berry Magician Girl"".",400,400,1,Spellcaster,EARTH,Magician Girl,https://images.ygoprodeck.com/images/cards_cropped/20747792.jpg,GAN_experiments/training_magician/darkmagician/20747792.jpg
75672051,Black Fang Magician,Pendulum Effect Monster,"[ Pendulum Effect ] 
Once per turn: You can target 1 face-up monster your opponent controls; its ATK becomes half its current ATK (until the end of this turn), then destroy this card.
[ Monster Effect ] 
(This card is always treated as an ""Xyz Dragon"" card.)
If this card is destroyed by battle or card effect: You can target 1 DARK Spellcaster-Type monster in your Graveyard; Special Summon it.",1700,800,4,Spellcaster,DARK,Magician,https://images.ygoprodeck.com/images/cards_cropped/75672051.jpg,GAN_experiments/training_magician/darkmagician/75672051.jpg
21051146,Blast Magician,Effect Monster,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. You can remove any number of Spell Counters from this card, then target 1 face-up monster on the field with ATK less than or equal to the number of counters you removed x 700; destroy that target.",1400,1700,4,Spellcaster,FIRE,Unknown,https://images.ygoprodeck.com/images/cards_cropped/21051146.jpg,GAN_experiments/training_magician/darkmagician/21051146.jpg
60709218,Bond Between Teacher and Student,Spell Card,"If you control ""Dark Magician"": Special Summon 1 ""Dark Magician Girl"" from your hand, Deck, or GY, then, you can Set 1 ""Dark Magic Attack"", ""Dark Burning Attack"", ""Dark Burning Magic"", or ""Dark Magic Twin Burst"" directly from your Deck. You can only activate 1 ""Bond Between Teacher and Student"" per turn.",0,0,0,Normal,Unknown,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/60709218.jpg,GAN_experiments/training_magician/darkmagician/60709218.jpg
15256925,Chaos Scepter Blast,Spell Card,"If you control a Level 8 or higher Spellcaster-Type monster: Banish 1 card on the field face-down. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can Special Summon 1 ""Magician of Black Chaos"" or ""Dark Magician of Chaos"" from your Deck, ignoring its Summoning conditions.",0,0,0,Quick-Play,Unknown,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/15256925.jpg,GAN_experiments/training_magician/darkmagician/15256925.jpg
7198399,Chocolate Magician Girl,Effect Monster,"Once per turn: You can discard 1 Spellcaster-Type monster; draw 1 card. Once per turn, if this card is targeted for an attack: You can target 1 Spellcaster-Type monster in your Graveyard, except ""Chocolate Magician Girl""; Special Summon it, then change the attack target to it, and if you do, the attacking monster's ATK becomes half its current ATK.",1600,1000,4,Spellcaster,WATER,Magician Girl,https://images.ygoprodeck.com/images/cards_cropped/7198399.jpg,GAN_experiments/training_magician/darkmagician/7198399.jpg
60948488,Chronicle Magician,Effect Monster,"If a monster(s) with 2500 original ATK or DEF is Normal or Special Summoned to your field (except during the Damage Step): You can Special Summon this card from your hand in Defense Position. If this card is Special Summoned: You can target 1 ""Dark Magician"" or ""Blue-Eyes White Dragon"" in your Monster Zone; it gains 2500 ATK/DEF until the end of this turn. You can only use each effect of ""Chronicle Magician"" once per turn.",2500,2500,7,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/60948488.jpg,GAN_experiments/training_magician/darkmagician/60948488.jpg
54878729,Chronicle Sorceress,Effect Monster,"You can activate 1 of these effects based on the Attributes in your GY;
● LIGHT: Send 1 ""Blue-Eyes White Dragon"" or 1 card that mentions it from your Deck to the GY, except ""Chronicle Sorceress"".
● DARK: Send 1 ""Dark Magician"" or 1 card that mentions it from your Deck to the GY, except ""Chronicle Sorceress"".
You can only use this effect of ""Chronicle Sorceress"" once per turn.",1250,1250,4,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/54878729.jpg,GAN_experiments/training_magician/darkmagician/54878729.jpg
12289247,Chronograph Sorcerer,Pendulum Effect Monster,"[ Pendulum Effect ] 
During your Main Phase: You can destroy this card, and if you do, take 1 ""Timegazer Magician"" from your hand or Deck, and either place it in your Pendulum Zone or Special Summon it. You can only use this effect of ""Chronograph Sorcerer"" once per turn.
[ Monster Effect ] 
If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand, then you can Special Summon 1 monster from your hand. You can banish this card you control, plus 4 monsters from your hand, field, and/or GY (1 each with ""Pendulum Dragon"", ""Xyz Dragon"", ""Synchro Dragon"", and ""Fusion Dragon"" in their names); Special Summon 1 ""Supreme King Z-ARC"" from your Extra Deck. (This is treated as a Fusion Summon.)",2000,1700,6,Spellcaster,DARK,Magician,https://images.ygoprodeck.com/images/cards_cropped/12289247.jpg,GAN_experiments/training_magician/darkmagician/12289247.jpg
24731391,Cyberse Magician,Ritual Effect Monster,"You can Ritual Summon this card with ""Cynet Ritual"". Any damage you take is halved. (You cannot halve the same damage twice this way.) While you control a Link Monster, monsters your opponent controls cannot target monsters you control for attacks, except this one, also your opponent cannot target monsters you control with card effects, except this one. If this card battles a Link Monster, it gains 1000 ATK during that damage calculation only. If this card in your possession is destroyed by an opponent's card effect: You can add 1 Cyberse monster from your Deck to your hand.",2500,2000,7,Cyberse,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/24731391.jpg,GAN_experiments/training_magician/darkmagician/24731391.jpg
49702428,Dark Burning Attack,Spell Card,"If you control a ""Dark Magician Girl"" monster: Destroy all face-up monsters your opponent controls.",0,0,0,Normal,Unknown,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/49702428.jpg,GAN_experiments/training_magician/darkmagician/49702428.jpg
75190122,Dark Burning Magic,Spell Card,"If you control monsters whose original names are ""Dark Magician"" and ""Dark Magician Girl"": Destroy all cards your opponent controls.",0,0,0,Quick-Play,Unknown,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/75190122.jpg,GAN_experiments/training_magician/darkmagician/75190122.jpg
73452089,Dark Cavalry,Fusion Monster,"""Dark Magician"" + 1 Warrior monster
Gains 100 ATK for each Spell/Trap on the field and in the GYs. If this card attacks a Defense Position monster, inflict piercing battle damage. When a card or effect is activated that targets a card on the field (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy it.",2800,2300,8,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/73452089.jpg,GAN_experiments/training_magician/darkmagician/73452089.jpg
29436665,Dark Eradicator Warlock,Effect Monster,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Dark Magician"", and cannot be Special Summoned by other ways. Each time a Normal Spell Card is activated, inflict 1000 damage to your opponent immediately after it resolves.",2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/29436665.jpg,GAN_experiments/training_magician/darkmagician/29436665.jpg
13722870,Dark Flare Knight,Fusion Monster,"""Dark Magician"" + ""Flame Swordsman""
You take no Battle Damage from battles involving this card. When this card is destroyed by battle and sent to the Graveyard: Special Summon 1 ""Mirage Knight"" from your hand or Deck.",2200,800,6,Warrior,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/13722870.jpg,GAN_experiments/training_magician/darkmagician/13722870.jpg
2314238,Dark Magic Attack,Spell Card,"If you control ""Dark Magician"": Destroy all Spells and Traps your opponent controls.",0,0,0,Normal,Unknown,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/2314238.jpg,GAN_experiments/training_magician/darkmagician/2314238.jpg
