id,name,type,desc,atk,def,level,race,attribute,archetype,image_url,image_path,simplified_type,image_id
56746202,Scrap Chimera,Effect Monster,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a ""Scrap"" monster, and all other Synchro Material Monsters must also be ""Scrap"" monsters. When this card is Normal Summoned, you can select 1 ""Scrap"" Tuner monster in your Graveyard and Special Summon it.",1700,500,4,Beast,EARTH,Scrap,https://images.ygoprodeck.com/images/cards_cropped/56746202.jpg,training_data_final/training_images/56746202.jpg,effect monster,56746202.jpg
47504322,War Rock Wento,Effect Monster,"If your EARTH Warrior monster battles an opponent's monster, during damage calculation (Quick Effect): You can pay 800 LP; your battling monster gains 800 ATK, until the end of this turn. If this card is sent from your Monster Zone to your GY by an opponent's card effect: You can Special Summon 1 Level 5 or higher ""War Rock"" monster from your hand or Deck. You can only use each effect of ""War Rock Wento"" once per turn.",1800,1800,4,Warrior,EARTH,War Rock,https://images.ygoprodeck.com/images/cards_cropped/47504322.jpg,training_data_final/training_images/47504322.jpg,effect monster,47504322.jpg
42932862,Prediction Princess Tarotreith,Ritual Effect Monster,"You can Ritual Summon this card with ""Underworld Ritual of Prediction"". Must be Ritual Summoned, or Special Summoned with ""Prediction Princess Tarotrei"". You can only use each effect of ""Prediction Princess Tarotreith"" once per turn. (Quick Effect): You can activate 1 of these effects;
● Flip any number of face-down monsters you control to face-up Defense Position.
● Flip any number of face-up monsters you control to face-down Defense Position.
FLIP: You can Special Summon 1 Flip monster from your Deck in face-down Defense Position.",1200,2700,9,Fairy,DARK,Prediction Princess,https://images.ygoprodeck.com/images/cards_cropped/42932862.jpg,training_data_final/training_images/42932862.jpg,effect monster,42932862.jpg
52502677,Gladiator Beast Attorix,Effect Monster,"If this card is Special Summoned by the effect of a ""Gladiator Beast"" monster: You can send 1 ""Gladiator Beast"" monster from your Deck or Extra Deck to the GY, except ""Gladiator Beast Attorix""; until the End Phase, this card's Level and name become the same as that monster sent to the GY. At the end of the Battle Phase, if this card battled: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Attorix"".",800,2000,4,Beast-Warrior,EARTH,Gladiator Beast,https://images.ygoprodeck.com/images/cards_cropped/52502677.jpg,training_data_final/training_images/52502677.jpg,effect monster,52502677.jpg
21790410,Inzektor Centipede,Effect Monster,"Once per turn: You can equip 1 ""Inzektor"" monster from your hand or Graveyard to this card. If an Equip Card(s) is sent to your Graveyard while equipped to this card (except during the Damage Step): You can add 1 ""Inzektor"" card from your Deck to your hand. While this card is equipped to a monster, that monster's Level is increased by 3.",1600,1200,3,Insect,DARK,Inzektor,https://images.ygoprodeck.com/images/cards_cropped/21790410.jpg,training_data_final/training_images/21790410.jpg,effect monster,21790410.jpg
49003716,Blackwing - Bora the Spear,Effect Monster,"If you control a ""Blackwing"" monster other than ""Blackwing - Bora the Spear"", you can Special Summon this card (from your hand). If this card attacks a Defense Position monster, inflict piercing battle damage.",1700,800,4,Winged Beast,DARK,Blackwing,https://images.ygoprodeck.com/images/cards_cropped/49003716.jpg,training_data_final/training_images/49003716.jpg,effect monster,49003716.jpg
66337215,Herald of Creation,Effect Monster,"Once per turn: You can discard 1 card, then target 1 Level 7 or higher monster in your Graveyard; add that target to your hand.",1800,600,4,Spellcaster,LIGHT,Herald,https://images.ygoprodeck.com/images/cards_cropped/66337215.jpg,training_data_final/training_images/66337215.jpg,effect monster,66337215.jpg
83104731,Ancient Gear Golem,Effect Monster,"Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage.",3000,3000,8,Machine,EARTH,Ancient Gear,https://images.ygoprodeck.com/images/cards_cropped/83104731.jpg,training_data_final/training_images/83104731.jpg,effect monster,83104731.jpg
37970940,Aussa the Earth Charmer,Flip Effect Monster,"FLIP: While this card is face-up on the field, take control of 1 EARTH monster your opponent controls.",500,1500,3,Spellcaster,EARTH,Charmer,https://images.ygoprodeck.com/images/cards_cropped/37970940.jpg,training_data_final/training_images/37970940.jpg,effect monster,37970940.jpg
40225398,Twin-Sword Marauder,Effect Monster,"Once per Battle Phase, if this card attacks a Defense Position monster, it can make a second attack in a row. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",1600,1000,4,Warrior,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/40225398.jpg,training_data_final/training_images/40225398.jpg,effect monster,40225398.jpg
