Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
32295838$Digitron$$EARTH$[Cyberse/normal]$$$$$2$1500$0$$$$A subspecies found in electronic space. There's little information on it.$$$$$
18789533$Dotscaper$$EARTH$[Cyberse/effect]$$$$$1$0$2100$$$$If this card is sent to the GY: You can Special Summon this card. If this card is banished: You can Special Summon this card. You can only use 1 "Dotscaper" effect per turn, and only once that turn. You can only use each effect of "Dotscaper" once per Duel.$$$$$
45778242$Cliant$$LIGHT$[Cyberse/effect]$$$$$3$1500$1500$$$$While this Normal Summoned/Set card is face-up on the field, all Cyberse monsters you control gain 500 ATK/DEF during your turn only. If this card on the field would be destroyed by battle or card effect, you can destroy 1 Cyberse monster in your hand or face-up field instead.$$$$$
71172240$Backlinker$$DARK$[Cyberse/effect]$$$$$3$1600$0$$$$If only your opponent controls a monster in the Extra Monster Zone, you can Special Summon this card (from your hand). You can Tribute this card; shuffle all monsters from the Extra Monster Zones into the Deck, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn.$$$$$
8567955$Balancer Lord$$LIGHT$[Cyberse/effect]$$$$$4$1700$1200$$$$Once per turn: You can pay 1000 LP; during your Main Phase this turn, you can Normal Summon 1 Cyberse monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is banished: You can Special Summon 1 Level 4 or lower monster from your hand. You can only use this effect of "Balancer Lord" once per turn.$$$$$
44956694$ROM Cloudia$$DARK$[Cyberse/effect]$$$$$4$1800$0$$$$When this card is Normal Summoned: You can target 1 Cyberse monster in your GY, except "ROM Cloudia"; add it to your hand. If this card is destroyed by battle or card effect: You can Special Summon 1 Level 4 or lower Cyberse monster from your Deck, except "ROM Cloudia".$$$$$
70950698$Boot Staggered$$LIGHT$[Cyberse/effect]$$$$$5$2300$500$$$$When a Cyberse monster is Normal Summoned to your field: You can Special Summon this card from your hand. You can only use this effect of "Boot Staggered" once per turn. When this card inflicts battle damage to your opponent: You can Special Summon 1 "Stag Token" (Cyberse/EARTH/Level 1/ATK 0/DEF 0).$$$$$
7445307$Dual Assembwurm$$DARK$[Cyberse/effect]$$$$$8$2800$1000$$$$If this card is in your hand or GY: You can banish 2 other Cyberse monsters from your hand and/or face-up from your field; Special Summon this card, but its ATK becomes halved. You can only use this effect of "Dual Assembwurm" once per turn. Once per turn: You can banish 1 card from your hand; banish 1 monster on the field with ATK less than or equal to this card's.$$$$$
36033786$Cyberse Wizard$$LIGHT$[Cyberse/effect]$$$$$4$1800$800$$$$Once per turn: You can target 1 Attack Position opponent's monster; change it to Defense Position, and if you do, for the rest of this turn, your monsters cannot attack, except to attack that monster, and if your Cyberse monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.$$$$$
63528891$Backup Secretary$$LIGHT$[Cyberse/effect]$$$$$3$1200$800$$$$If you control a Cyberse monster, you can Special Summon this card (from your hand). You can only Special Summon "Backup Secretary" once per turn this way.$$$$$
9523599$Stack Reviver$$DARK$[Cyberse/effect]$$$$$2$100$600$$$$If this card is used as material for a Link Summon: You can target 1 other Level 4 or lower Cyberse monster in your GY, that was used as material for that Link Summon; Special Summon it in Defense Position. You can only use this effect of "Stack Reviver" once per Duel.$$$$$
35911108$Launcher Commander$$EARTH$[Cyberse/effect]$$$$$4$1700$1200$$$$All other Cyberse monsters you control gain 300 ATK/DEF. Once per turn: You can Tribute 1 Cyberse monster, then target 1 face-up monster your opponent controls; destroy it.$$$$$
98777036$Tragoedia$$DARK$[Fiend/effect]$$$$$10$0$0$$$$When you take battle damage: You can Special Summon this card from your hand. Gains 600 ATK/DEF for each card in your hand. Once per turn: You can send 1 monster from your hand to the GY, then target 1 face-up monster your opponent controls with the same Level the sent monster had in the hand; take control of that face-up monster. Once per turn: You can target 1 monster in your GY; this card's Level becomes the same as that target's, until the end of this turn.$$$$$
